rho_R_multiset_key,rule,class_count,geometry_false,geometry_true
"Q2:0,0|1,1::R=0,0",constant_false,6615,6615,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0",constant_false,52,52,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q3:0,0,0|0,0,1|1,1,0|1,1,1::R=0,0,0|0,0,1",constant_false,3,3,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q3:0,0,0|0,1,0|1,0,1|1,1,1::R=0,0,0|0,1,0;Q3:0,0,0|0,1,0|1,0,1|1,1,1::R=0,0,0|0,1,0;Q3:0,0,0|1,0,1::R=0,0,0",constant_false,2,2,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q3:0,0,0|0,1,1|1,0,1|1,1,1::R=0,0,0",constant_false,3,3,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,0,1|0,1,1|1,1,0::R=0,0,0|0,0,1|0,1,1;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=0,0,1",constant_false,10,10,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,0,1|1,1,0|1,1,1::R=0,0,0|0,0,1;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=0,0,1",constant_false,20,20,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|0,1,1|1,0,1::R=0,0,0|0,1,0|0,1,1",constant_false,14,14,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|0,1,1|1,0,1::R=0,0,0|0,1,0|0,1,1;Q3:0,0,0|0,1,0|1,0,1|1,1,1::R=0,0,0|0,1,0",constant_false,8,8,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|0,1,1|1,0,1::R=0,0,0|0,1,0|0,1,1;Q3:0,0,0|1,0,1::R=0,0,0;Q3:0,1,0|1,0,0|1,0,1|1,1,1::R=0,1,0",constant_false,2,2,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|1,0,1|1,1,1::R=0,0,0|0,1,0;Q3:0,0,0|1,0,1::R=0,0,0;Q3:0,1,0|1,0,0|1,0,1|1,1,1::R=0,1,0",constant_false,4,4,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,1|1,0,1|1,1,1::R=0,0,0",constant_false,14,14,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=0,0,1",constant_false,3,3,0
"Q2:0,0|1,1::R=0,0;Q2:0,0|1,1::R=0,0;Q3:0,0,0|0,0,1|1,1,0|1,1,1::R=0,0,0|0,0,1",constant_false,264,264,0
